University,City,State,White,Hispanic/Latino,Black African American,Two or more races,Asian,Race Ethnicity Unknown,Non-Resident Alien,American Indian/Alaskan Native,Native Hawaiian/Pacific Islander
California State University: Sacramento,Sacramento,CA,27.0%,30.0%,6.0%,6.0%,21.0%,6.0%,3.0%,,
Saint Martin's University,Lacey,WA,55.0%,16.0%,6.0%,6.0%,6.0%,3.0%,4.0%,1.0%,3.0%
St. Mary's College of California,Moraga,CA,46.0%,26.0%,4.0%,7.0%,12.0%,3.0%,2.0%,,1.0%
Santa Fe University of Art and Design,Santa Fe,NM,44.0%,28.0%,8.0%,8.0%,2.0%,1.0%,4.0%,3.0%,1.0%
San Diego City College,San Diego,CA,23.0%,47.0%,13.0%,,9.0%,7.0%,,,
San Diego State University,San Diego,CA,33.0%,31.0%,4.0%,7.0%,14.0%,4.0%,7.0%,,
San Francisco State University,San Francisco,CA,19.0%,31.0%,5.0%,6.0%,28.0%,4.0%,6.0%,,
Anne Arundel Community College,Arnold,MD,58.0%,7.0%,18.0%,4.0%,4.0%,6.0%,1.0%,,
Darton State College,Albany,GA,49.0%,3.0%,45.0%,,,,1.0%,,
Allegany College of Maryland,Cumberland,MD,84.0%,1.0%,10.0%,1.0%,,2.0%,1.0%,,
Point University,West Point,GA,47.0%,6.0%,34.0%,5.0%,,5.0%,2.0%,,
Aiken Technical College,Aiken,SC,59.0%,5.0%,32.0%,,1.0%,2.0%,,,
Technical College of the Lowcountry,Beaufort,SC,51.0%,9.0%,35.0%,2.0%,1.0%,1.0%,,,
Bridgewater College,Bridgewater,VA,68.0%,6.0%,13.0%,6.0%,1.0%,4.0%,1.0%,,
Broward College,Fort Lauderdale,FL,17.0%,35.0%,34.0%,2.0%,3.0%,4.0%,4.0%,,
Saint Thomas University,Miami Gardens,FL,19.0%,58.0%,9.0%,4.0%,1.0%,2.0%,6.0%,,
Clayton State University,Morrow,GA,16.0%,5.0%,66.0%,3.0%,5.0%,3.0%,1.0%,,
Central Carolina Community College,Sanford,NC,55.0%,15.0%,22.0%,3.0%,1.0%,2.0%,,,
Craven Community College,New Bern,NC,60.0%,8.0%,17.0%,4.0%,3.0%,6.0%,2.0%,,
Davidson College,Davidson,NC,67.0%,7.0%,7.0%,4.0%,5.0%,2.0%,7.0%,,
Treasure Valley Community College,Ontario,OR,65.0%,25.0%,2.0%,3.0%,,4.0%,,1.0%,
Thomas Aquinas College,Santa Paula,CA,72.0%,15.0%,,7.0%,1.0%,2.0%,3.0%,,
United States Air Force Academy,USAF Academy,CO,62.0%,11.0%,6.0%,7.0%,5.0%,7.0%,1.0%,,
University of Arizona,Tucson,AZ,51.0%,26.0%,4.0%,4.0%,5.0%,,7.0%,1.0%,
University of California: Berkeley,Berkeley,CA,27.0%,14.0%,2.0%,5.0%,35.0%,3.0%,14.0%,,
University of California: Davis,Davis,CA,27.0%,20.0%,2.0%,5.0%,30.0%,2.0%,13.0%,,
University of California: Santa Barbara,Santa Barbara,CA,34.0%,26.0%,2.0%,6.0%,21.0%,1.0%,8.0%,,
University of California: Los Angeles,Los Angeles,CA,27.0%,22.0%,3.0%,5.0%,29.0%,2.0%,12.0%,,
University of California: Riverside,Riverside,CA,12.0%,41.0%,4.0%,6.0%,34.0%,1.0%,2.0%,,
University of Colorado Boulder,Boulder,CO,69.0%,11.0%,2.0%,5.0%,5.0%,,7.0%,,
University of Denver,Denver,CO,69.0%,10.0%,2.0%,4.0%,4.0%,2.0%,8.0%,,
Midlands Technical College,Columbia,SC,51.0%,4.0%,36.0%,3.0%,2.0%,3.0%,,,
Rowan-Cabarrus Community College,Salisbury,NC,63.0%,8.0%,24.0%,2.0%,1.0%,,1.0%,,
Rappahannock Community College,Glenns,VA,71.0%,2.0%,17.0%,6.0%,2.0%,2.0%,,,
Saint Augustine's University,Raleigh,NC,2.0%,1.0%,89.0%,,,6.0%,1.0%,,
Mid-Atlantic Christian University,Elizabeth City,NC,67.0%,4.0%,24.0%,3.0%,2.0%,,,,
St. John's College,Annapolis,MD,69.0%,5.0%,1.0%,2.0%,4.0%,,18.0%,,
St. Mary's College of Maryland,St. Mary's City,MD,69.0%,9.0%,9.0%,5.0%,4.0%,4.0%,,,
St. Paul's College,Lawrenceville,VA,2.0%,,98.0%,,,,,,
St. Petersburg College,Saint Petersburg,FL,63.0%,13.0%,14.0%,3.0%,4.0%,2.0%,,,
Kuyper College,Grand Rapids,MI,83.0%,,3.0%,4.0%,3.0%,3.0%,3.0%,,
Rend Lake College,Ina,IL,93.0%,,6.0%,,,,,,
Old Dominion University,Norfolk,VA,46.0%,8.0%,29.0%,7.0%,4.0%,3.0%,1.0%,,
College of Central Florida,Ocala,FL,61.0%,14.0%,14.0%,4.0%,2.0%,2.0%,2.0%,,
Christopher Newport University,Newport News,VA,75.0%,5.0%,8.0%,5.0%,3.0%,5.0%,,,
College of the Albemarle,Elizabeth City,NC,73.0%,4.0%,15.0%,4.0%,1.0%,3.0%,,,
Coastal Carolina Community College,Jacksonville,NC,66.0%,9.0%,17.0%,,3.0%,,,2.0%,1.0%
Community College of Baltimore County,Baltimore,MD,40.0%,5.0%,39.0%,3.0%,6.0%,,5.0%,,
Dabney S. Lancaster Community College,Clifton Forge,VA,87.0%,2.0%,5.0%,4.0%,,,,,
Mildred Elley: Albany,Albany,NY,28.0%,10.0%,47.0%,,,14.0%,,,
Spencerian College: Lexington,Lexington,KY,68.0%,3.0%,11.0%,10.0%,1.0%,6.0%,,1.0%,
Oregon Health & Science University,Portland,OR,75.0%,10.0%,,5.0%,4.0%,4.0%,1.0%,,
Rio Salado College,Tempe,AZ,45.0%,16.0%,7.0%,,4.0%,27.0%,,1.0%,
Delta College of Arts & Technology,Baton Rouge,LA,27.0%,2.0%,70.0%,,,,,,
Clovis Community College,Clovis,NM,44.0%,41.0%,5.0%,2.0%,2.0%,4.0%,,,
Walla Walla University,College Place,WA,69.0%,14.0%,3.0%,,7.0%,4.0%,,,
Weber State University,Ogden,UT,69.0%,10.0%,2.0%,2.0%,2.0%,12.0%,2.0%,,
Pacific States University,Los Angeles,CA,,,,,6.0%,6.0%,88.0%,,
St. John's University,Queens,NY,34.0%,12.0%,19.0%,5.0%,17.0%,7.0%,5.0%,,
The College of Saints John Fisher & Thomas More,Fort Worth,TX,74.0%,9.0%,1.0%,3.0%,,10.0%,3.0%,,
Longwood University,Farmville,VA,75.0%,5.0%,9.0%,4.0%,1.0%,4.0%,1.0%,,
DeVry University: Alpharetta,Alpharetta,GA,46.0%,6.0%,43.0%,,4.0%,,,,
DeVry University - Long Beach,Long Beach,CA,20.0%,45.0%,16.0%,,18.0%,,,,
St. Luke's College,Sioux City,IA,86.0%,7.0%,3.0%,1.0%,2.0%,,,,
Allen College,Waterloo,IA,88.0%,,2.0%,,1.0%,7.0%,,,
Sussex County Community College,Newton,NJ,87.0%,8.0%,3.0%,,2.0%,,,,
Triangle Tech: Greensburg,Greensburg,PA,92.0%,,5.0%,1.0%,,1.0%,,,
Maranatha Baptist University,Watertown,WI,86.0%,4.0%,2.0%,4.0%,,2.0%,1.0%,,
Thomas Edison State University,Trenton,NJ,51.0%,9.0%,15.0%,2.0%,4.0%,16.0%,1.0%,,
City University of New York: Queens College,Flushing,NY,33.0%,21.0%,11.0%,,30.0%,,5.0%,,
City University of New York: College of Staten Island,Staten Island,NY,50.0%,18.0%,16.0%,,13.0%,,3.0%,,
Klamath Community College,Klamath Falls,OR,69.0%,14.0%,2.0%,,2.0%,8.0%,,5.0%,
Saint Bonaventure University,St. Bonaventure,NY,69.0%,8.0%,6.0%,3.0%,4.0%,8.0%,3.0%,,
St. Charles Borromeo Seminary - Overbrook,Wynnewood,PA,68.0%,23.0%,2.0%,,5.0%,2.0%,2.0%,,
St. Francis College,Brooklyn Heights,NY,40.0%,21.0%,19.0%,3.0%,4.0%,6.0%,6.0%,,1.0%
University of Maine at Machias,Machias,ME,79.0%,7.0%,3.0%,2.0%,,4.0%,2.0%,4.0%,
Wellesley College,Wellesley,MA,39.0%,11.0%,5.0%,6.0%,23.0%,4.0%,12.0%,,
Wentworth Institute of Technology,Boston,MA,63.0%,3.0%,4.0%,6.0%,8.0%,8.0%,9.0%,,
Arizona State University,Tempe,AZ,51.0%,20.0%,4.0%,4.0%,7.0%,,13.0%,1.0%,
Art Center College of Design,Pasadena,CA,18.0%,12.0%,1.0%,4.0%,36.0%,,27.0%,,
Ohio State University Agricultural Technical Institute,Wooster,OH,93.0%,1.0%,,1.0%,,3.0%,,,
Talmudical Yeshiva of Philadelphia,Philadelphia,PA,98.0%,,,,,,2.0%,,
Alaska Pacific University,Anchorage,AK,54.0%,1.0%,4.0%,14.0%,2.0%,9.0%,,16.0%,
Aims Community College,Greeley,CO,55.0%,37.0%,2.0%,2.0%,1.0%,,,,
College of the Ouachitas,Malvern,AR,71.0%,4.0%,19.0%,5.0%,,,,,
Skyline College: Roanoke,Roanoke,VA,62.0%,4.0%,31.0%,2.0%,1.0%,,,,
DeVry University: Colorado Springs,Colorado Springs,CO,63.0%,11.0%,18.0%,,5.0%,,,1.0%,
Nossi College of Art,Nashville,TN,78.0%,4.0%,15.0%,1.0%,1.0%,,,,
Snow College,Ephraim,UT,84.0%,5.0%,1.0%,1.0%,,,3.0%,1.0%,3.0%
San Diego Miramar College,San Diego,CA,36.0%,26.0%,5.0%,,14.0%,8.0%,,,10.0%
San Juan College,Farmington,NM,47.0%,15.0%,,1.0%,,4.0%,,30.0%,
San Diego Mesa College,San Diego,CA,33.0%,35.0%,7.0%,,16.0%,8.0%,,,
Arizona Christian University,Phoenix,AZ,51.0%,20.0%,15.0%,6.0%,,3.0%,3.0%,,
Community College of Philadelphia,Philadelphia,PA,20.0%,12.0%,44.0%,3.0%,6.0%,3.0%,12.0%,,
Canada College,Redwood City,CA,26.0%,36.0%,3.0%,15.0%,12.0%,2.0%,4.0%,,1.0%
California State University: Bakersfield,Bakersfield,CA,18.0%,55.0%,6.0%,3.0%,7.0%,4.0%,6.0%,,
Clackamas Community College,Oregon City,OR,70.0%,9.0%,2.0%,5.0%,3.0%,9.0%,,1.0%,
College of Southern Nevada,Las Vegas,NV,33.0%,29.0%,12.0%,5.0%,10.0%,8.0%,1.0%,,2.0%
Community College of Denver,Denver,CO,35.0%,26.0%,18.0%,5.0%,6.0%,4.0%,4.0%,1.0%,
Gettysburg College,Gettysburg,PA,76.0%,6.0%,3.0%,3.0%,2.0%,2.0%,7.0%,,
Grove City College,Grove City,PA,92.0%,1.0%,,3.0%,2.0%,,,,
Gwynedd Mercy University,Gwynedd Valley,PA,50.0%,4.0%,20.0%,,5.0%,21.0%,,,
Penn State Greater Allegheny,McKeesport,PA,60.0%,5.0%,21.0%,3.0%,6.0%,1.0%,3.0%,,
Rowan College at Gloucester,Sewell,NJ,67.0%,7.0%,12.0%,4.0%,2.0%,7.0%,,,
Holy Family University,Philadelphia,PA,62.0%,6.0%,12.0%,,5.0%,15.0%,,,
Houghton College,Houghton,NY,78.0%,2.0%,3.0%,4.0%,2.0%,,11.0%,,
City University of New York: Hunter College,New York,NY,32.0%,21.0%,12.0%,,29.0%,,6.0%,,
City University of New York: Hostos Community College,Bronx,NY,2.0%,58.0%,21.0%,,2.0%,10.0%,6.0%,,
Hallmark University,San Antonio,TX,27.0%,49.0%,12.0%,5.0%,3.0%,1.0%,,2.0%,
Johnson University: Florida,Kissimmee,FL,71.0%,13.0%,12.0%,2.0%,,,1.0%,,
Cape Fear Community College,Wilmington,NC,74.0%,8.0%,12.0%,3.0%,1.0%,1.0%,,,
Catawba Valley Community College,Hickory,NC,73.0%,3.0%,10.0%,,8.0%,5.0%,,1.0%,
Campbell University,Buies Creek,NC,56.0%,8.0%,18.0%,3.0%,2.0%,11.0%,2.0%,,
Concord University,Athens,WV,85.0%,1.0%,7.0%,,,,5.0%,,
Converse College,Spartanburg,SC,76.0%,6.0%,10.0%,5.0%,,2.0%,1.0%,,
Columbus State University,Columbus,GA,51.0%,6.0%,37.0%,2.0%,2.0%,,1.0%,,
University of Virginia's College at Wise,Wise,VA,77.0%,2.0%,11.0%,,,9.0%,,,
Mt. Sierra College,Monrovia,CA,20.0%,47.0%,4.0%,5.0%,9.0%,11.0%,,,2.0%
Long Island Business Institute,Commack,NY,30.0%,20.0%,10.0%,,39.0%,,2.0%,,
Jefferson College of Health Sciences,Roanoke,VA,82.0%,4.0%,8.0%,2.0%,2.0%,1.0%,,,
University of Wisconsin-Superior,Superior,WI,80.0%,2.0%,2.0%,4.0%,1.0%,,9.0%,2.0%,
Florida Institute of Technology,Melbourne,FL,44.0%,7.0%,6.0%,2.0%,2.0%,4.0%,33.0%,,
Cecil College,North East,MD,77.0%,6.0%,11.0%,4.0%,1.0%,,,,
University of North Alabama,Florence,AL,72.0%,3.0%,14.0%,3.0%,,3.0%,3.0%,1.0%,
University of Detroit Mercy,Detroit,MI,62.0%,5.0%,13.0%,3.0%,6.0%,4.0%,6.0%,,
University of Illinois at Urbana-Champaign,Champaign,IL,47.0%,10.0%,6.0%,3.0%,18.0%,,16.0%,,
University of Kentucky,Lexington,KY,77.0%,4.0%,8.0%,3.0%,3.0%,3.0%,3.0%,,
University of Louisville,Louisville,KY,75.0%,4.0%,11.0%,5.0%,4.0%,,1.0%,,
University of Michigan,Ann Arbor,MI,61.0%,5.0%,4.0%,4.0%,14.0%,5.0%,7.0%,,
University of Notre Dame,Notre Dame,IN,69.0%,11.0%,4.0%,5.0%,5.0%,,6.0%,,
Sewanee: The University of the South,Sewanee,TN,82.0%,5.0%,4.0%,3.0%,2.0%,,3.0%,,
University of Tennessee: Knoxville,Knoxville,TN,79.0%,4.0%,7.0%,3.0%,4.0%,3.0%,2.0%,,
University of Tennessee: Martin,Martin,TN,77.0%,2.0%,14.0%,2.0%,,,3.0%,,
University of Toledo,Toledo,OH,69.0%,5.0%,12.0%,3.0%,2.0%,3.0%,7.0%,,
University of Wisconsin-Madison,Madison,WI,75.0%,5.0%,2.0%,3.0%,6.0%,,8.0%,,
University of South Alabama,Mobile,AL,57.0%,3.0%,22.0%,3.0%,3.0%,2.0%,9.0%,,
Volunteer State Community College,Gallatin,TN,76.0%,6.0%,10.0%,3.0%,1.0%,2.0%,,,
Walters State Community College,Morristown,TN,89.0%,3.0%,3.0%,2.0%,,,1.0%,,
Walsh College of Accountancy and Business Administration,Troy,MI,82.0%,2.0%,5.0%,2.0%,4.0%,2.0%,2.0%,,
Widener University,Chester,PA,70.0%,5.0%,12.0%,3.0%,4.0%,2.0%,4.0%,,
Bloomsburg University of Pennsylvania,Bloomsburg,PA,79.0%,7.0%,9.0%,3.0%,1.0%,1.0%,,,
California University of Pennsylvania,California,PA,77.0%,3.0%,13.0%,4.0%,,2.0%,,,
Cheyney University of Pennsylvania,Cheyney,PA,2.0%,5.0%,82.0%,4.0%,,6.0%,,,
Clarion University of Pennsylvania,Clarion,PA,84.0%,3.0%,7.0%,3.0%,,2.0%,,,
East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,64.0%,11.0%,16.0%,5.0%,2.0%,1.0%,,,
Edinboro University of Pennsylvania,Edinboro,PA,81.0%,3.0%,8.0%,4.0%,1.0%,2.0%,2.0%,,
Indiana University of Pennsylvania,Indiana,PA,74.0%,4.0%,12.0%,4.0%,1.0%,,4.0%,,
Kutztown University of Pennsylvania,Kutztown,PA,78.0%,8.0%,8.0%,3.0%,1.0%,1.0%,,,
Lock Haven University of Pennsylvania,Lock Haven,PA,84.0%,2.0%,9.0%,1.0%,1.0%,1.0%,,,
Mansfield University of Pennsylvania,Mansfield,PA,81.0%,3.0%,10.0%,2.0%,,2.0%,,,
Millersville University of Pennsylvania,Millersville,PA,76.0%,9.0%,9.0%,2.0%,3.0%,1.0%,,,
Slippery Rock University of Pennsylvania,Slippery Rock,PA,86.0%,2.0%,5.0%,4.0%,,,1.0%,,
School of the Museum of Fine Arts,Boston,MA,48.0%,12.0%,2.0%,4.0%,3.0%,18.0%,12.0%,,
Bard College at Simon's Rock,Great Barrington,MA,56.0%,3.0%,4.0%,3.0%,11.0%,8.0%,14.0%,,
Southern Vermont College,Bennington,VT,50.0%,7.0%,11.0%,2.0%,1.0%,27.0%,,,
Lexington College,Chicago,IL,38.0%,29.0%,23.0%,,6.0%,,2.0%,2.0%,
College of Westchester,White Plains,NY,10.0%,45.0%,38.0%,2.0%,2.0%,3.0%,,,
Central Connecticut State University,New Britain,CT,63.0%,14.0%,12.0%,3.0%,4.0%,3.0%,2.0%,,
Trinity College,Hartford,CT,65.0%,7.0%,6.0%,3.0%,4.0%,5.0%,10.0%,,
Tufts University,Medford,MA,56.0%,7.0%,4.0%,5.0%,12.0%,6.0%,10.0%,,
Sullivan University,Louisville,KY,49.0%,,18.0%,9.0%,1.0%,21.0%,,,
Harvard College,Cambridge,MA,41.0%,11.0%,7.0%,7.0%,20.0%,2.0%,12.0%,,
Hebrew College,Newton Centre,MA,75.0%,,,,,,25.0%,,
University of Hartford,West Hartford,CT,55.0%,13.0%,16.0%,3.0%,3.0%,4.0%,6.0%,,
Holyoke Community College,Holyoke,MA,58.0%,26.0%,6.0%,3.0%,2.0%,3.0%,,,
Holy Apostles College and Seminary,Cromwell,CT,38.0%,17.0%,2.0%,3.0%,4.0%,9.0%,27.0%,,
Husson University,Bangor,ME,86.0%,2.0%,4.0%,2.0%,,2.0%,3.0%,,
Hampshire College,Amherst,MA,67.0%,11.0%,4.0%,7.0%,2.0%,4.0%,5.0%,,
Bridgewater State University,Bridgewater,MA,76.0%,7.0%,10.0%,4.0%,2.0%,1.0%,,,
Siena College,Loudonville,NY,79.0%,8.0%,4.0%,2.0%,4.0%,,2.0%,,
Skidmore College,Saratoga Springs,NY,64.0%,9.0%,4.0%,4.0%,5.0%,3.0%,10.0%,,
Sisseton Wahpeton College,Sisseton,SD,4.0%,,2.0%,,,,,94.0%,
Stevens Institute of Technology,Hoboken,NJ,66.0%,9.0%,2.0%,,10.0%,8.0%,4.0%,,
Susquehanna University,Selinsgrove,PA,80.0%,6.0%,7.0%,3.0%,2.0%,,2.0%,,
Swarthmore College,Swarthmore,PA,42.0%,13.0%,6.0%,8.0%,17.0%,3.0%,11.0%,,
Syracuse University,Syracuse,NY,56.0%,10.0%,8.0%,3.0%,7.0%,2.0%,12.0%,,
School of Visual Arts,New York,NY,34.0%,5.0%,6.0%,,14.0%,3.0%,37.0%,,
Lamar Community College,Lamar,CO,61.0%,21.0%,8.0%,4.0%,,,3.0%,1.0%,
Eastern Arizona College,Thatcher,AZ,61.0%,21.0%,4.0%,1.0%,,3.0%,1.0%,6.0%,
Montana State University: Billings,Billings,MT,81.0%,6.0%,1.0%,3.0%,,1.0%,2.0%,4.0%,
Eastern New Mexico University,Portales,NM,46.0%,37.0%,5.0%,3.0%,1.0%,2.0%,2.0%,3.0%,
Eastern Oregon University,La Grande,OR,75.0%,7.0%,3.0%,4.0%,2.0%,5.0%,1.0%,2.0%,1.0%
Eastern Washington University,Cheney,WA,64.0%,15.0%,4.0%,6.0%,3.0%,2.0%,5.0%,1.0%,
Embry-Riddle Aeronautical University: Prescott Campus,Prescott,AZ,59.0%,4.0%,2.0%,10.0%,5.0%,9.0%,10.0%,,
Fort Lewis College,Durango,CO,50.0%,11.0%,1.0%,8.0%,,3.0%,,26.0%,
California State University: Fresno,Fresno,CA,20.0%,50.0%,3.0%,3.0%,14.0%,4.0%,6.0%,,
Holy Names University,Oakland,CA,17.0%,42.0%,21.0%,2.0%,10.0%,2.0%,4.0%,,3.0%
College of Idaho,Caldwell,ID,66.0%,14.0%,2.0%,3.0%,2.0%,4.0%,7.0%,,
La Sierra University,Riverside,CA,14.0%,48.0%,6.0%,4.0%,16.0%,,11.0%,,2.0%
Notre Dame de Namur University,Belmont,CA,25.0%,37.0%,6.0%,4.0%,12.0%,9.0%,3.0%,,3.0%
University of the Pacific,Stockton,CA,24.0%,19.0%,3.0%,6.0%,37.0%,4.0%,6.0%,,
University of Puget Sound,Tacoma,WA,73.0%,8.0%,1.0%,9.0%,6.0%,2.0%,,,
Concordia University Irvine,Irvine,CA,48.0%,23.0%,4.0%,5.0%,7.0%,7.0%,4.0%,,
Colorado College,Colorado Springs,CO,66.0%,9.0%,3.0%,9.0%,4.0%,1.0%,8.0%,,
Colorado School of Mines,Golden,CO,74.0%,7.0%,1.0%,5.0%,5.0%,,6.0%,,
University of Northern Colorado,Greeley,CO,56.0%,17.0%,4.0%,3.0%,2.0%,16.0%,1.0%,,
Southern Utah University,Cedar City,UT,76.0%,6.0%,2.0%,,1.0%,6.0%,4.0%,1.0%,2.0%
Fitchburg State University,Fitchburg,MA,71.0%,11.0%,10.0%,3.0%,2.0%,2.0%,,,
Framingham State University,Framingham,MA,69.0%,12.0%,11.0%,4.0%,3.0%,2.0%,,,
Massachusetts College of Liberal Arts,North Adams,MA,74.0%,7.0%,9.0%,3.0%,2.0%,2.0%,,,
Cazenovia College,Cazenovia,NY,69.0%,6.0%,8.0%,2.0%,,14.0%,,,
Cedar Crest College,Allentown,PA,58.0%,14.0%,9.0%,1.0%,3.0%,3.0%,10.0%,,
Chatham University,Pittsburgh,PA,74.0%,4.0%,10.0%,2.0%,3.0%,4.0%,3.0%,,
Chestnut Hill College,Philadelphia,PA,39.0%,9.0%,35.0%,4.0%,2.0%,8.0%,2.0%,,
City University of New York: City College,New York,NY,14.0%,36.0%,16.0%,2.0%,25.0%,,6.0%,,
Clarkson University,Potsdam,NY,83.0%,5.0%,2.0%,3.0%,3.0%,2.0%,2.0%,,
Colgate University,Hamilton,NY,66.0%,9.0%,5.0%,4.0%,4.0%,4.0%,9.0%,,
Mercyhurst University,Erie,PA,58.0%,4.0%,5.0%,18.0%,1.0%,2.0%,10.0%,,
Messiah College,Mechanicsburg,PA,81.0%,4.0%,2.0%,4.0%,2.0%,,5.0%,,
Mohawk Valley Community College,Utica,NY,70.0%,9.0%,10.0%,3.0%,5.0%,,1.0%,,
Molloy College,Rockville Centre,NY,59.0%,16.0%,12.0%,1.0%,7.0%,2.0%,,,
Monmouth University,West Long Branch,NJ,72.0%,12.0%,5.0%,2.0%,3.0%,4.0%,,,
Moore College of Art and Design,Philadelphia,PA,59.0%,7.0%,21.0%,6.0%,3.0%,2.0%,1.0%,,
Moravian College,Bethlehem,PA,68.0%,10.0%,5.0%,2.0%,2.0%,6.0%,7.0%,,
NewSchool of Architecture & Design,San Diego,CA,25.0%,36.0%,3.0%,2.0%,8.0%,3.0%,22.0%,,
Mount Aloysius College,Cresson,PA,76.0%,,2.0%,,,15.0%,5.0%,,
Carlow University,Pittsburgh,PA,64.0%,3.0%,19.0%,5.0%,2.0%,7.0%,,,
Mount Saint Mary College,Newburgh,NY,63.0%,16.0%,8.0%,2.0%,2.0%,8.0%,,,
Muhlenberg College,Allentown,PA,75.0%,7.0%,3.0%,1.0%,3.0%,6.0%,3.0%,,
Misericordia University,Dallas,PA,89.0%,3.0%,3.0%,2.0%,1.0%,1.0%,,,
College of Mount St. Vincent,Riverdale,NY,25.0%,41.0%,14.0%,4.0%,9.0%,4.0%,2.0%,,
College of New Rochelle,New Rochelle,NY,15.0%,28.0%,36.0%,1.0%,7.0%,12.0%,,,
College of St. Elizabeth,Morristown,NJ,32.0%,21.0%,29.0%,2.0%,3.0%,10.0%,3.0%,,
College of Saint Rose,Albany,NY,63.0%,7.0%,13.0%,8.0%,3.0%,4.0%,2.0%,,
"Rutgers, The State University of New Jersey: Camden Campus",Camden,NJ,53.0%,14.0%,17.0%,4.0%,9.0%,2.0%,1.0%,,
Concordia College,Bronxville,NY,34.0%,23.0%,22.0%,2.0%,3.0%,,15.0%,,
Cooper Union for the Advancement of Science and Art,New York,NY,30.0%,10.0%,3.0%,9.0%,20.0%,10.0%,18.0%,,
Finger Lakes Community College,Canandaigua,NY,76.0%,5.0%,7.0%,3.0%,,8.0%,,,
Clinton Community College,Plattsburgh,NY,75.0%,3.0%,8.0%,,,11.0%,1.0%,1.0%,
Columbia-Greene Community College,Hudson,NY,77.0%,8.0%,9.0%,3.0%,2.0%,,,,
Columbia College of Nursing,Glendale,WI,79.0%,5.0%,5.0%,,4.0%,2.0%,3.0%,,2.0%
Columbia University: School of General Studies,New York,NY,49.0%,10.0%,5.0%,,9.0%,5.0%,21.0%,,
Wheaton College,Wheaton,IL,75.0%,6.0%,3.0%,4.0%,9.0%,,3.0%,,
William Carey University,Hattiesburg,MS,61.0%,2.0%,30.0%,,1.0%,2.0%,4.0%,,
University of Wisconsin-Eau Claire,Eau Claire,WI,88.0%,3.0%,,2.0%,4.0%,,2.0%,,
University of Wisconsin-La Crosse,La Crosse,WI,89.0%,4.0%,,3.0%,2.0%,,1.0%,,
University of Wisconsin-Oshkosh,Oshkosh,WI,87.0%,4.0%,2.0%,2.0%,4.0%,,,,
University of Wisconsin-Platteville,Platteville,WI,90.0%,3.0%,1.0%,3.0%,1.0%,,1.0%,,
University of Wisconsin-River Falls,River Falls,WI,88.0%,3.0%,2.0%,,3.0%,,3.0%,1.0%,
University of Wisconsin-Stevens Point,Stevens Point,WI,88.0%,3.0%,2.0%,2.0%,3.0%,,2.0%,,
Saint Anselm College,Manchester,NH,88.0%,3.0%,2.0%,2.0%,,4.0%,,,
University of New England,Biddeford,ME,83.0%,,1.0%,1.0%,4.0%,10.0%,,,
University of Saint Joseph,West Hartford,CT,55.0%,16.0%,16.0%,1.0%,5.0%,6.0%,1.0%,,
Saint Michael's College,Colchester,VT,85.0%,4.0%,2.0%,2.0%,2.0%,1.0%,4.0%,,
Salve Regina University,Newport,RI,82.0%,6.0%,2.0%,2.0%,1.0%,5.0%,1.0%,,
Simmons College,Boston,MA,65.0%,7.0%,7.0%,4.0%,9.0%,3.0%,4.0%,,
Smith College,Northampton,MA,45.0%,10.0%,6.0%,5.0%,12.0%,8.0%,14.0%,,
Springfield College,Springfield,MA,82.0%,5.0%,5.0%,1.0%,1.0%,5.0%,,,
Colby-Sawyer College,New London,NH,67.0%,3.0%,7.0%,,2.0%,11.0%,9.0%,,
College of the Holy Cross,Worcester,MA,70.0%,10.0%,4.0%,3.0%,5.0%,5.0%,3.0%,,
Elms College,Chicopee,MA,57.0%,12.0%,8.0%,,2.0%,21.0%,,,
Connecticut College,New London,CT,70.0%,9.0%,4.0%,3.0%,4.0%,3.0%,7.0%,,
Curry College,Milton,MA,67.0%,6.0%,10.0%,2.0%,2.0%,9.0%,2.0%,,
Laboure College,Milton,MA,50.0%,10.0%,33.0%,1.0%,2.0%,4.0%,,,
Cape Cod Community College,West Barnstable,MA,70.0%,7.0%,6.0%,5.0%,2.0%,9.0%,,,
Champlain College,Burlington,VT,68.0%,7.0%,6.0%,3.0%,3.0%,13.0%,,,
Charter Oak State College,New Britain,CT,58.0%,15.0%,17.0%,2.0%,1.0%,4.0%,1.0%,,
Massachusetts Bay Community College,Wellesley Hills,MA,50.0%,18.0%,16.0%,,5.0%,8.0%,2.0%,,
College of St. Joseph in Vermont,Rutland,VT,75.0%,1.0%,23.0%,,,,,,
Culinary Institute of America,Hyde Park,NY,50.0%,16.0%,6.0%,4.0%,7.0%,3.0%,12.0%,,
Fairfield University,Fairfield,CT,77.0%,8.0%,2.0%,1.0%,2.0%,6.0%,3.0%,,
Fisher College,Boston,MA,30.0%,10.0%,11.0%,2.0%,1.0%,36.0%,9.0%,,
University of Maine at Fort Kent,Fort Kent,ME,52.0%,2.0%,3.0%,2.0%,,36.0%,4.0%,,
Benjamin Franklin Institute of Technology,Boston,MA,31.0%,21.0%,29.0%,3.0%,9.0%,6.0%,,,
Franklin Pierce University,Rindge,NH,74.0%,7.0%,7.0%,1.0%,1.0%,7.0%,3.0%,,
Goddard College,Plainfield,VT,68.0%,2.0%,1.0%,5.0%,3.0%,17.0%,,4.0%,
