University,City,State,White,Hispanic/Latino,Black African American,Two or more races,Asian,Race Ethnicity Unknown,Non-Resident Alien,American Indian/Alaskan Native,Native Hawaiian/Pacific Islander
Johnson County Community College,Overland Park,KS,69.0%,8.0%,6.0%,3.0%,4.0%,6.0%,3.0%,,
Texas State Technical College,Waco,TX,39.0%,50.0%,7.0%,,,3.0%,,,
Juniata College,Huntingdon,PA,73.0%,4.0%,3.0%,3.0%,4.0%,5.0%,7.0%,,
D'Youville College,Buffalo,NY,74.0%,4.0%,9.0%,2.0%,4.0%,5.0%,2.0%,,
Collin County Community College District,McKinney,TX,47.0%,21.0%,12.0%,4.0%,10.0%,,5.0%,,
Lehigh University,Bethlehem,PA,65.0%,9.0%,4.0%,3.0%,8.0%,3.0%,8.0%,,
Minneapolis College of Art and Design,Minneapolis,MN,65.0%,6.0%,5.0%,2.0%,7.0%,9.0%,3.0%,2.0%,
Tennessee Technological University,Cookeville,TN,81.0%,3.0%,4.0%,3.0%,2.0%,,7.0%,,
Northcentral University,San Diego,CA,41.0%,12.0%,16.0%,2.0%,2.0%,27.0%,,,
Saint Anthony College of Nursing,Rockford,IL,77.0%,13.0%,2.0%,2.0%,5.0%,,,,
Sanford College of Nursing,Bismarck,ND,84.0%,1.0%,4.0%,2.0%,,6.0%,,3.0%,
Amridge University,Montgomery,AL,21.0%,2.0%,34.0%,,,43.0%,,,
Northwest Arkansas Community College,Bentonville,AR,67.0%,17.0%,2.0%,3.0%,3.0%,3.0%,2.0%,2.0%,
Art Institute of Colorado,Denver,CO,36.0%,15.0%,4.0%,,2.0%,40.0%,,,
Kent State University: Ashtabula,Ashtabula,OH,84.0%,4.0%,6.0%,3.0%,1.0%,2.0%,,,
Life Pacific College,San Dimas,CA,55.0%,29.0%,4.0%,4.0%,5.0%,2.0%,,,2.0%
Milwaukee Institute of Art & Design,Milwaukee,WI,66.0%,14.0%,7.0%,6.0%,3.0%,1.0%,1.0%,,
Dakota College at Bottineau,Bottineau,ND,61.0%,4.0%,17.0%,3.0%,,11.0%,2.0%,2.0%,
Ohio State University: Lima Campus,Lima,OH,83.0%,2.0%,4.0%,4.0%,2.0%,4.0%,,,
Rose State College,Midwest City,OK,53.0%,7.0%,17.0%,10.0%,3.0%,5.0%,,5.0%,
University of Texas-Pan American,Edinburg,TX,3.0%,91.0%,,,1.0%,2.0%,2.0%,,
Panola College,Carthage,TX,62.0%,12.0%,22.0%,,,,2.0%,,
Paul Quinn College,Dallas,TX,1.0%,11.0%,85.0%,,2.0%,,,,
Philander Smith College,Little Rock,AR,,1.0%,90.0%,2.0%,,,5.0%,,
Prairie View A&M University,Prairie View,TX,2.0%,7.0%,85.0%,,3.0%,,2.0%,,
Saint Louis University,Saint Louis,MO,68.0%,5.0%,6.0%,4.0%,9.0%,1.0%,5.0%,,
University of St. Mary,Leavenworth,KS,58.0%,20.0%,9.0%,4.0%,1.0%,5.0%,1.0%,,
St. Mary's University of Minnesota,Winona,MN,58.0%,5.0%,6.0%,1.0%,2.0%,24.0%,3.0%,,
St. Mary's University,San Antonio,TX,14.0%,68.0%,3.0%,,2.0%,3.0%,9.0%,,
St. Olaf College,Northfield,MN,73.0%,6.0%,2.0%,3.0%,6.0%,1.0%,8.0%,,
Southern California Institute of Architecture,Los Angeles,CA,13.0%,14.0%,,2.0%,18.0%,,51.0%,,
University of Cincinnati: Clermont College,Batavia,OH,82.0%,3.0%,3.0%,2.0%,1.0%,9.0%,,,
Wisconsin Indianhead Technical College,Shell Lake,WI,93.0%,,1.0%,3.0%,,,,2.0%,
Logan University,Chesterfield,MO,34.0%,1.0%,3.0%,4.0%,2.0%,52.0%,1.0%,1.0%,1.0%
Central Penn College,Summerdale,PA,63.0%,,22.0%,,2.0%,12.0%,,,
