University,services,website
J. Sargeant Reynolds Community College,Career counseling; Veteran's counselor; Financial aid counseling,www.reynolds.edu 
California State University: San Marcos,Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; On-campus daycare,www.csusm.edu 
University of Medicine and Dentistry of New Jersey: New Jersey Dental School,,
University of Medicine and Dentistry of New Jersey: Robert Wood Johnson Medical School,,
University of Medicine and Dentistry of New Jersey:  Robert Wood Johnson Medical School at Camden,,
Westwood College: River Oaks,,
Beulah Heights University,Chaplain/spiritual director; Personal counseling; Career counseling; Financial aid counseling; Minority students services; Adult (re-entering) student services/programs,www.beulah.edu 
Christendom College,Career counseling; Personal counseling; Placement services for graduates; Financial aid counseling; Chaplain/spiritual director; Health services; Employment services for undergraduates,www.christendom.edu 
University of Medicine and Dentistry of New Jersey:  New Jersey Medical School,,
University of Medicine and Dentistry of New Jersey: Graduate School of Biomedical Sciences,,www.umdnj.edu 
Corcoran College of Art and Design,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Veteran's counselor,www.corcoran.edu 
South Plains College,Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Veteran's counselor,www.southplainscollege.edu 
Southwest Minnesota State University,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling; Women's services,www.smsu.edu 
Wake Forest University,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates,www.wfu.edu 
Warren Wilson College,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Minority students services; Placement services for graduates; Women's services,www.warren-wilson.edu 
Washington and Lee University,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Financial aid counseling; Minority students services; Chaplain/spiritual director; Alcohol/substance abuse counseling,www.wlu.edu 
Washington College,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.washcoll.edu 
South Georgia State College - Waycross,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,http://www.sgsc.edu/ 
Washington Adventist University,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Financial aid counseling,www.wau.edu 
Williamsburg Technical College,Career counseling; Economically disadvantaged students services; Financial aid counseling; Personal counseling; Placement services for graduates; Veteran's counselor,www.wiltech.edu 
Webber International University,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.webber.edu 
Wesley College,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates,www.wesley.edu 
Wesleyan College,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Adult (re-entering) student services/programs; Women's services; Placement services for graduates; Chaplain/spiritual director,www.wesleyancollege.edu 
Southern Wesleyan University,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Financial aid counseling; Health services; Minority students services; Personal counseling; Adult (re-entering) student services/programs,www.swu.edu 
Western Carolina University,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Women's services; Economically disadvantaged students services; Veteran's counselor,www.wcu.edu 
Fort Peck Community College,Career counseling; Employment services for undergraduates; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.fpcc.edu 
Clear Creek Baptist Bible College,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor,www.ccbbc.edu 
York Technical College,Career counseling; Employment services for undergraduates; Financial aid counseling; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor,www.yorktech.edu 
Texas Southmost College,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor,www.utb.edu 
Texas Woman's University,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Veteran's counselor; Women's services; Legal services; Adult (re-entering) student services/programs; Placement services for graduates,www.twu.edu 
Texas Tech University,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Health services; Legal services; Personal counseling; Placement services for graduates; Veteran's counselor; Financial aid counseling; Minority students services,www.ttu.edu 
Texas Wesleyan University,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.txwes.edu 
University of Texas at El Paso,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Alcohol/substance abuse counseling; Chaplain/spiritual director; Financial aid counseling; Women's services,www.utep.edu 
North Central Missouri College,Career counseling; Employment services for undergraduates; Financial aid counseling; Veteran's counselor,www.ncmissouri.edu 
Trinity University,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Veteran's counselor; Alcohol/substance abuse counseling,www.trinity.edu 
Florida Coastal School of Law,,
Remington College: Little Rock,Career counseling; Financial aid counseling,
Art Institute of California: Orange County,Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Veteran's counselor,www.artinstitutes.edu/orangecounty 
Tulane University,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Legal services; Minority students services; Personal counseling; Women's services; Veteran's counselor; Economically disadvantaged students services; Placement services for graduates; On-campus daycare,www.tulane.edu 
Tyler Junior College,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.tjc.edu 
Tarrant County College,Placement services for graduates; Career counseling; Employment services for undergraduates; Health services; Personal counseling; Minority students services; Adult (re-entering) student services/programs; Veteran's counselor; Economically disadvantaged students services; Financial aid counseling,www.tccd.edu 
Auburn University: School of Pharmacy,,
Auburn University: College of Veterinary Medicine,,
Samford University: McWhorter School of Pharmacy,,
Samford University: Cumberland School of Law,,
Beeson Divinity School at Samford University,,
Thomas Goode Jones School of Law--Faulkner University,,
University of Alabama: School of Law,,
University of Alabama at Birmingham: School of Medicine,,
University of Alabama at Birmingham: School of Dentistry,,
University of Alabama at Birmingham: School of Optometry,,
University of South Alabama: School of Medicine,,
Embry-Riddle Aeronautical University: Worldwide Campus,Financial aid counseling; Veteran's counselor,
Mercy College of Health Sciences,Chaplain/spiritual director; Career counseling; Veteran's counselor; Financial aid counseling; Employment services for undergraduates; Personal counseling; Health services; Economically disadvantaged students services,www.mchs.edu 
National University of Health Sciences: First Professional,,
Kaplan College: Vista,,www.mariccollege.edu 
University of Minnesota: Duluth,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Veteran's counselor; Adult (re-entering) student services/programs; Chaplain/spiritual director; Financial aid counseling; Minority students services; On-campus daycare; Women's services; Alcohol/substance abuse counseling,www.d.umn.edu 
University of Minnesota: Twin Cities,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Legal services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,
University of Missouri: Columbia,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Women's services; Alcohol/substance abuse counseling; Chaplain/spiritual director; Economically disadvantaged students services; Financial aid counseling; Legal services; Minority students services; Veteran's counselor,www.missouri.edu 
Missouri University of Science and Technology,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Women's services,www.mst.edu 
University of Nebraska - Lincoln,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Health services; Legal services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Economically disadvantaged students services; Financial aid counseling,www.unl.edu 
University of North Dakota,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Legal services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.und.edu 
University of Oklahoma,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Economically disadvantaged students services; Legal services,www.ou.edu 
University of St. Thomas,Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Chaplain/spiritual director,www.stthom.edu 
University of South Dakota,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Legal services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.usd.edu 
Remington College: Fort Worth,Career counseling; Financial aid counseling; Placement services for graduates,
University of Texas at Austin,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Legal services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.utexas.edu 
University of Tulsa,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Legal services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Minority students services,
Metropolitan Community College,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Minority students services; Personal counseling; Placement services for graduates; Veteran's counselor; Women's services; Adult (re-entering) student services/programs,www.mccneb.edu 
Northwestern Oklahoma State University,Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Economically disadvantaged students services,www.nwosu.edu 
East Central College,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Financial aid counseling,www.eastcentral.edu 
Jarvis Christian College,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Alcohol/substance abuse counseling; Economically disadvantaged students services; Minority students services; Women's services,www.jarvis.edu 
Graceland University,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Economically disadvantaged students services,www.graceland.edu 
Dona Ana Community College of New Mexico State University,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.dacc.nmsu.edu 
Brookhaven College,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.brookhavencollege.edu 
Pensacola State College,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; On-campus daycare; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Personal counseling,www.pensacolastate.edu 
Elon University,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.elon.edu 
Lamson College,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Veteran's counselor,www.lamsoncollege.com 
University of North Georgia - Gainesville,Career counseling; Employment services for undergraduates; Personal counseling; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling; Financial aid counseling; Minority students services; Placement services for graduates,
Hillsborough Community College,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; On-campus daycare; Personal counseling,www.hccfl.edu 
Allen University,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Chaplain/spiritual director; Financial aid counseling; Adult (re-entering) student services/programs; Veteran's counselor,www.allenuniversity.edu 
Baylor College of Medicine,,
South College,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Veteran's counselor,www.southcollegenc.edu 
University of South Carolina: Columbia,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Chaplain/spiritual director; On-campus daycare,www.sc.edu 
Newberry College,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Minority students services; Adult (re-entering) student services/programs; Veteran's counselor,www.newberry.edu 
Florida Southern College,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Chaplain/spiritual director,www.flsouthern.edu 
Commonwealth Institute of Funeral Service,Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Veteran's counselor,www.commonwealthinst.org 
Eastern New Mexico University: Roswell,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Veteran's counselor; On-campus daycare; Adult (re-entering) student services/programs; Economically disadvantaged students services; Financial aid counseling; Health services,www.roswell.enmu.edu 
Colorado Technical University: North Kansas City,,
Averett University,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Chaplain/spiritual director; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.averett.edu 
Brevard College,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Veteran's counselor,www.brevard.edu 
Rockingham Community College,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Economically disadvantaged students services; Financial aid counseling; Veteran's counselor,www.rockinghamcc.edu 
Salem International University,Career counseling; Economically disadvantaged students services; Financial aid counseling,www.salemu.edu 
University of Virginia,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Legal services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Women's services; Economically disadvantaged students services,www.virginia.edu 
Mars Hill University,Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling; Minority students services,www.mhu.edu 
Yeshiva Ohr Elchonon Chabad/West Coast Talmudical Seminary,Career counseling; Personal counseling; Economically disadvantaged students services; Financial aid counseling; Chaplain/spiritual director; Minority students services,
Phoenix College,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Minority students services; Financial aid counseling,www.phoenixcollege.edu 
Amherst College,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Women's services,www.amherst.edu 
Merced College,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Alcohol/substance abuse counseling; Economically disadvantaged students services; Financial aid counseling,www.mccd.edu 
Le Cordon Bleu College of Culinary Arts: Scottsdale,Alcohol/substance abuse counseling; Career counseling; Financial aid counseling; Placement services for graduates,www.chefs.edu/Scottsdale 
New England School of Communications,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Veteran's counselor; Employment services for undergraduates,www.nescom.edu 
Dominican School of Philosophy and Theology,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Women's services,www.dspt.edu 
Brown Mackie College: North Kentucky,,www.brownmackie.edu 
Golf Academy of America: Phoenix,,www.golfacademy.edu 
Rasmussen College: New Port Richey,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Adult (re-entering) student services/programs,www.rasmussen.edu 
Everest Institute: Rochester,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Veteran's counselor; Economically disadvantaged students services; Financial aid counseling; Adult (re-entering) student services/programs,www.everest.edu/campus/rochester 
Northern Arizona University,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Veteran's counselor; Alcohol/substance abuse counseling; Legal services,www.nau.edu 
Salem State University,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Financial aid counseling; Economically disadvantaged students services; Legal services,www.salemstate.edu 
Massasoit Community College,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Alcohol/substance abuse counseling,www.massasoit.mass.edu 
Northern Essex Community College,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Economically disadvantaged students services; Financial aid counseling; Women's services,www.necc.mass.edu 
Medical College of Pennsylvania and Hahnemann University School of Biomedical Sciences,,
California Baptist University,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling; Health services,www.calbaptist.edu 
Community College of Aurora,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Minority students services; Alcohol/substance abuse counseling; Financial aid counseling; Veteran's counselor; Personal counseling,www.ccaurora.edu 
Globe University: Woodbury,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates,www.globeuniversity.edu 
Shimer College,Alcohol/substance abuse counseling; Career counseling; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Employment services for undergraduates,www.shimer.edu 
Illinois Eastern Community Colleges: Olney Central College,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor,www.iecc.edu/occ 
Robert Morris University: Chicago,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling,www.robertmorris.edu 
Grossmont College,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs,www.grossmont.edu 
Westwood College: Denver North,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Veteran's counselor,www.westwood.edu/locations/colorado/denver-north-campus 
Diablo Valley College,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Women's services; Veteran's counselor,www.dvc.edu 
University of Great Falls,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Health services,www.ugf.edu 
Central Oregon Community College,Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling; Economically disadvantaged students services; Minority students services; Women's services,www.cocc.edu 
ITT Technical Institute: Memphis,Career counseling; Employment services for undergraduates; Placement services for graduates,www.itt-tech.edu 
Delaware County Community College,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Veteran's counselor; Alcohol/substance abuse counseling; Economically disadvantaged students services; Minority students services; Women's services; Financial aid counseling; Adult (re-entering) student services/programs,www.dccc.edu 
University of Wisconsin-Fond du Lac,Career counseling; Personal counseling; Veteran's counselor; Financial aid counseling; Alcohol/substance abuse counseling,www.fdl.uwc.edu 
Columbia College,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Chaplain/spiritual director; Financial aid counseling; Veteran's counselor,www.columbiasc.edu 
Valley College,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates,www.valley.edu 
National College: Danville,Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Veteran's counselor,www.national-college.edu 
Oregon Health Sciences University: School of Dentistry,,
Missouri College,Career counseling; Financial aid counseling; Personal counseling; Placement services for graduates,www.missouricollege.com 
Everest University: Largo,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.everest.edu 
Community College of Rhode Island,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.ccri.edu 
Colby College,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Women's services,www.colby.edu 
Eastern Maine Community College,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling; Financial aid counseling; Health services; On-campus daycare,www.emcc.edu 
Jefferson Medical College of Thomas Jefferson University,,
University of Rochester,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Economically disadvantaged students services; Veteran's counselor; Women's services,www.rochester.edu 
Berkeley College,Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.berkeleycollege.edu 
University of Dayton,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Women's services; Economically disadvantaged students services; Adult (re-entering) student services/programs; Veteran's counselor,www.udayton.edu 
Viterbo University,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Women's services; Veteran's counselor,www.viterbo.edu 
Paul Smith's College,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Minority students services; Veteran's counselor,www.paulsmiths.edu 
Point Park University,Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Alcohol/substance abuse counseling,www.pointpark.edu 
Massachusetts College of Art and Design,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Financial aid counseling,www.massart.edu 
University of La Verne,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.laverne.edu 
Penn Commercial Business and Technical School,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.penncommercial.edu 
TransPacific Hawaii College,Career counseling; Personal counseling,www.transpacific.org 
Mercy College,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Financial aid counseling; Alcohol/substance abuse counseling; Economically disadvantaged students services; Minority students services,www.mercy.edu 
Lake Michigan College,Career counseling; Employment services for undergraduates; Placement services for graduates; Veteran's counselor; On-campus daycare; Adult (re-entering) student services/programs; Economically disadvantaged students services; Financial aid counseling,www.lakemichigancollege.edu 
Davenport University,Career counseling; Employment services for undergraduates; Personal counseling; Financial aid counseling; Veteran's counselor,www.davenport.edu 
Alcorn State University,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Alcohol/substance abuse counseling; Chaplain/spiritual director; Financial aid counseling,www.alcorn.edu 
SUNY College at Oneonta,,
Pinnacle Career Institute: Kansas City,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Veteran's counselor,www.pcitraining.edu 
Kaplan University: Lincoln,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Veteran's counselor,www.lincoln.kaplanuniversity.edu 
South Hills School of Business & Technology: Altoona,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates,www.southhills.edu 
Dowling College,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Health services; Personal counseling; Adult (re-entering) student services/programs; Minority students services; Veteran's counselor,www.dowling.edu 
St. John's Seminary,,
Antonelli Institute of Art and Photography,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Financial aid counseling,www.antonelli.edu 
Art Institute of Philadelphia,Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates,www.artinstitutes.edu/Philadelphia 
Morehouse School of Medicine,,
Bel-Rea Institute of Animal Technology,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Veteran's counselor,www.bel-rea.com 
Everest College: Colorado Springs,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Veteran's counselor; Financial aid counseling,www.everest.edu/campus/colorado_springs 
Bramson ORT College,Career counseling; Employment services for undergraduates; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.bramsonort.edu 
