University,services,website
Mitchell Community College,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Veteran's counselor,www.mitchellcc.edu 
Oregon Graduate Institute,,www.ogi.edu 
Westminster Choir College of Rider University,Career counseling; Employment services for undergraduates; Health services; Personal counseling; Placement services for graduates,www.rider.edu/284.htm 
Boston Conservatory,Career counseling; Health services; Personal counseling; Financial aid counseling; Employment services for undergraduates,www.bostonconservatory.edu 
Napa Valley College,Career counseling; Employment services for undergraduates; On-campus daycare; Personal counseling; Adult (re-entering) student services/programs; Veteran's counselor; Economically disadvantaged students services; Financial aid counseling; Minority students services; Health services,www.napavalley.edu 
New Mexico State University at Carlsbad,Career counseling; Employment services for undergraduates; Personal counseling; Minority students services; Economically disadvantaged students services; Financial aid counseling; Health services,www.cavern.nmsu.edu 
Island Drafting and Technical Institute,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Veteran's counselor,www.idti.edu 
Seattle University,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.seattleu.edu 
San Francisco Conservatory of Music,Financial aid counseling; Health services; Personal counseling; Employment services for undergraduates; Career counseling,www.sfcm.edu 
City University of New York: Queensborough Community College,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor,www.qcc.cuny.edu 
University of the Potomac,Financial aid counseling; Adult (re-entering) student services/programs,www.potomac.edu 
Vatterott College: Oklahoma City,Career counseling; Financial aid counseling,www.vatterott.edu 
Wesleyan University,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Women's services,www.wesleyan.edu 
Big Bend Community College,Career counseling; Employment services for undergraduates; Financial aid counseling; Minority students services; Personal counseling; Placement services for graduates; Veteran's counselor; On-campus daycare; Economically disadvantaged students services,www.bigbend.edu 
Daniel Webster College,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs,www.dwc.edu 
Schuylkill Institute of Business & Technology,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates,www.sibt.edu 
SUNY College of Technology at Alfred,Women's services; Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Economically disadvantaged students services,www.alfredstate.edu 
St. Louis Christian College,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Personal counseling; Adult (re-entering) student services/programs; Financial aid counseling; Veteran's counselor; Alcohol/substance abuse counseling,www.stlchristian.edu 
San Jacinto College: Houston,Career counseling; Employment services for undergraduates; Financial aid counseling; On-campus daycare; Personal counseling; Veteran's counselor; Women's services,www.sjcd.edu 
