School ID,University,State,City,Enrollment (Undergrad),Male Enrollment,Female Enrollment,Native Hawaiian/Pacific Islander,American Indian/Alaskan Native,Multi-race (not Hispanic/Latino),Asian,White,Black/African-American,International,Hispanic/Latino,Unknown
000073,Stockton University,NJ,Galloway,7808,3205,4603,0.2,0.1,2.7,5.4,72.1,6.9,0.3,11.1,1.5
000074,University of the Arts,PA,Philadelphia,1712,677,1035,0.6,0.4,5.1,2.9,64.4,14.2,5.8,10.1,2.4
000075,Stonehill College,MA,Easton,2494,997,1497,0.0,0.0,2.2,2.2,83.9,4.7,0.9,4.5,2.5
000076,Cairn University,PA,Langhorne,783,360,423,0.0,0.4,1.6,4.3,73.0,13.9,1.5,6.7,0.0
000077,University of the Sciences,PA,Philadelphia,2246,866,1380,0.1,0.5,1.7,35.0,44.0,5.9,1.2,3.7,9.1
000078,Suffolk University,MA,Boston,5565,2549,3016,0.1,0.2,2.7,10.5,52.7,7.7,22.8,15.0,11.1
000079,Philadelphia University,PA,Philadelphia,2906,989,1917,0.2,0.2,2.5,4.8,57.9,15.8,4.1,8.8,9.9
000080,University at Albany,NY,Albany,12908,6590,6318,0.2,0.2,3.0,8.8,51.5,17.2,5.8,15.8,3.3
000081,Pine Manor College,MA,Chestnut Hill,447,193,254,0.0,1.0,9.8,2.8,8.0,39.9,36.2,23.1,15.4
000082,Rider University,NJ,Lawrenceville,4128,1760,2368,0.1,0.1,2.9,5.1,63.6,12.2,2.8,12.4,3.5
000083,Binghamton University,NY,Vestal,13491,7045,6446,0.1,0.1,2.7,15.9,62.1,5.4,10.1,11.5,2.2
000084,University at Buffalo,NY,Buffalo,19951,11125,8826,0.1,0.3,2.9,16.9,56.9,8.8,16.5,7.6,6.4
000085,University of Pittsburgh,PA,Pittsburgh,18908,9294,9614,0.1,0.1,3.6,9.4,77.3,5.2,3.6,3.3,1.1
000086,Stony Brook University,NY,Stony Brook,16831,9141,7690,0.2,0.2,2.7,27.3,41.6,7.6,12.8,12.8,7.7
000087,College at Brockport,NY,Brockport,7069,3182,3887,0.0,0.2,2.5,1.8,72.7,10.3,1.4,5.7,6.8
000088,Rivier University,NH,Nashua,1526,291,1235,0.1,0.4,1.8,2.0,78.6,2.7,,4.7,9.7
000089,University of Pittsburgh at Bradford,PA,Bradford,1461,662,799,0.1,0.6,2.0,1.7,74.6,11.3,2.1,5.0,4.8
000090,Buffalo State College,NY,Buffalo,9187,3977,5210,0.1,0.4,3.4,2.8,52.0,28.7,1.6,12.4,0.2
000091,University of Pittsburgh at Johnstown,PA,Johnstown,2957,1604,1353,0.1,0.1,1.0,1.4,91.8,2.8,1.5,1.5,1.3
000092,State University of New York College at Cortland,NY,Cortland,6283,2734,3549,0.1,0.1,2.2,1.3,73.9,5.5,0.5,11.4,5.4
000093,Robert Morris University,PA,Moon Township,4497,2528,1969,0.0,0.1,3.0,1.1,84.2,6.6,10.8,2.5,2.6
000094,State University of New York College of Environmental Science and Forestry,NY,Syracuse,1839,993,846,0.0,0.1,2.7,3.4,82.8,1.5,1.8,5.5,3.9
000095,State University of New York at Fredonia,NY,Fredonia,4587,2017,2570,0.0,0.5,2.3,1.6,79.9,6.1,2.6,7.0,2.6
000096,Plymouth State University,NH,Plymouth,4105,2088,2017,0.1,0.4,1.5,1.9,81.7,2.0,1.7,2.0,10.5
000097,Roberts Wesleyan College,NY,Rochester,1324,404,920,0.2,0.3,3.2,1.7,76.3,10.8,3.8,5.4,2.1
000098,State University of New York College at Geneseo,NY,Geneseo,5583,2249,3334,0.0,0.2,2.8,6.6,76.1,3.1,2.3,7.5,3.7
000099,Point Park University,PA,Pittsburgh,3226,1383,1843,0.0,0.1,3.9,1.2,73.9,16.8,3.1,3.3,0.8
000100,State University of New York at New Paltz,NY,New Paltz,6699,2519,4180,0.1,0.2,2.3,5.9,64.8,5.8,2.0,17.2,3.7
000101,College at Old Westbury,NY,Old Westbury,4125,1729,2396,0.4,0.3,2.9,10.4,31.5,29.9,1.3,21.9,2.7
000103,State University of New York College at Oneonta,NY,Oneonta,5852,2404,3448,0.0,0.2,4.8,1.6,83.2,2.8,1.8,4.4,3.0
000104,Maine College of Art,ME,Portland,369,109,260,0.0,0.8,3.5,1.6,82.0,1.4,,2.7,7.9
000105,State University of New York at Oswego,NY,Oswego,7104,3521,3583,0.1,0.1,2.4,2.8,76.5,7.3,1.4,10.5,0.2
000106,Post University,CT,Waterbury,828,399,429,0.1,0.3,2.2,1.7,38.7,14.3,1.7,6.7,36.0
000107,State University of New York Plattsburgh,NY,Plattsburgh,5377,2366,3011,0.2,0.4,2.2,2.7,72.1,7.8,5.7,10.9,3.8
000108,Rochester Institute of Technology,NY,Rochester,13543,9189,4354,0.0,0.2,3.3,8.0,69.9,5.3,5.6,7.5,5.8
000109,Pratt Institute,NY,Brooklyn,3226,996,2230,0.2,0.3,2.9,20.0,55.1,5.3,26.1,13.2,3.0
000110,State University of New York College at Potsdam,NY,Potsdam,3614,1559,2055,0.1,1.8,2.3,1.8,65.6,10.1,0.6,12.6,5.7
000111,Princeton University,NJ,Princeton,5402,2803,2599,0.2,0.1,4.3,24.3,50.3,8.6,11.1,10.5,1.7
000112,Purchase College,NY,Purchase,4115,1798,2317,0.0,0.0,4.7,3.6,56.0,10.1,2.3,18.2,7.5
000113,Providence College,RI,Providence,4201,1840,2361,0.3,0.2,1.8,1.2,78.6,4.2,2.0,8.7,5.0
000114,State University of New York Institute of Technology,NY,Utica,2082,1336,746,0.1,0.1,2.0,4.3,79.9,6.6,0.9,6.9,0.2
000115,Quinnipiac University,CT,Hamden,6982,2729,4253,0.1,0.1,2.0,2.9,78.4,4.9,2.3,8.8,2.7
000116,Bard College,NY,Annandale-on-Hudson,2023,903,1120,0.0,0.9,0.0,6.1,68.8,8.8,11.3,1.6,13.9
000117,University of Rochester,NY,Rochester,6304,3150,3154,0.1,0.2,3.9,13.4,58.6,6.3,17.4,8.4,9.1
000118,State University of New York Maritime College,NY,Throggs Neck,1676,1501,175,0.1,0.1,1.8,4.7,73.2,3.7,3.1,11.1,5.3
000119,Barnard College,NY,New York,2548,1,2547,0.0,0.1,6.3,15.2,58.0,7.4,8.3,12.7,0.3
000120,State University of New York Upstate Medical University,NY,Syracuse,296,87,209,0.3,0.3,4.5,2.8,76.0,4.2,3.0,5.2,6.6
000121,Maine Maritime Academy,ME,Castine,1037,900,137,0.2,0.3,0.0,0.8,94.9,0.5,,0.8,2.6
000122,University of Maine,ME,Orono,9297,4841,4456,0.0,1.0,2.8,1.7,84.3,2.4,2.1,2.9,5.0
000123,Roger Williams University,RI,Bristol,4555,2205,2350,0.1,0.2,1.9,1.5,78.9,2.6,4.8,6.1,8.7
000124,Susquehanna University,PA,Selinsgrove,2196,993,1203,0.0,0.1,2.8,1.8,82.8,6.1,1.8,6.2,0.1
000125,Bates College,ME,Lewiston,1792,884,908,0.0,0.2,4.8,4.2,77.0,5.3,7.3,8.2,0.3
